timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516656510338,13,Q3 - Wahlkreisübersicht,204,No Content,Users 1-2,,true,,27,143,100,100,0,0,2
1516656510622,18,Q3 - Wahlkreisübersicht,204,No Content,Users 1-6,,true,,27,143,100,100,0,0,1
1516656510629,12,Q4 - Wahlkreissieger,204,No Content,Users 1-42,,true,,27,140,100,100,0,0,1
1516656510682,9,Q3 - Wahlkreisübersicht,204,No Content,Users 1-28,,true,,27,143,100,100,0,0,1
1516656510762,9,Q3 - Wahlkreisübersicht,204,No Content,Users 1-12,,true,,27,143,100,100,0,0,1
1516656510766,8,Q3 - Wahlkreisübersicht,204,No Content,Users 1-86,,true,,27,143,100,100,0,0,0
1516656510483,453,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-58,,true,,27,140,100,100,0,0,1
1516656510545,430,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-22,,true,,27,140,100,100,0,0,0
1516656510642,362,Q5 - Überhangmandate,204,No Content,Users 1-9,,true,,27,140,100,100,0,0,1
1516656510701,310,Q5 - Überhangmandate,204,No Content,Users 1-39,,true,,27,140,100,100,0,0,0
1516656511097,12,Q3 - Wahlkreisübersicht,204,No Content,Users 1-19,,true,,27,143,100,100,0,0,1
1516656511128,10,Q4 - Wahlkreissieger,204,No Content,Users 1-77,,true,,27,140,100,100,0,0,0
1516656510805,392,Q5 - Überhangmandate,204,No Content,Users 1-14,,true,,27,140,100,100,0,0,1
1516656511191,16,Q3 - Wahlkreisübersicht,204,No Content,Users 1-21,,true,,27,143,100,100,0,0,1
1516656510945,422,Q1 - Sitzverteilung,204,No Content,Users 1-36,,true,,27,140,100,100,0,0,1
1516656511382,32,Q3 - Wahlkreisübersicht,204,No Content,Users 1-82,,true,,27,143,100,100,0,0,0
1516656511023,478,Q1 - Sitzverteilung,204,No Content,Users 1-87,,true,,27,140,100,100,0,0,0
1516656511178,521,Q1 - Sitzverteilung,204,No Content,Users 1-29,,true,,27,140,100,100,0,0,1
1516656511543,166,Q3 - Wahlkreisübersicht,204,No Content,Users 1-1,,true,,27,143,100,100,0,0,1
1516656511153,592,Q1 - Sitzverteilung,204,No Content,Users 1-34,,true,,27,140,100,100,0,0,0
1516656511607,155,Q3 - Wahlkreisübersicht,204,No Content,Users 1-85,,true,,27,143,100,100,0,0,0
1516656511251,552,Q1 - Sitzverteilung,204,No Content,Users 1-24,,true,,27,140,100,100,0,0,1
1516656511176,629,Q1 - Sitzverteilung,204,No Content,Users 1-43,,true,,27,140,100,100,0,0,0
1516656511640,170,Q3 - Wahlkreisübersicht,204,No Content,Users 1-23,,true,,27,143,100,100,0,0,1
1516656511734,89,Q3 - Wahlkreisübersicht,204,No Content,Users 1-20,,true,,27,143,100,100,0,0,0
1516656511837,21,Q4 - Wahlkreissieger,204,No Content,Users 1-32,,true,,27,140,100,100,0,0,0
1516656511271,611,Q1 - Sitzverteilung,204,No Content,Users 1-83,,true,,27,140,100,100,0,0,0
1516656511547,348,Q6 - Knappste Sieger,204,No Content,Users 1-62,,true,,27,142,100,100,0,0,0
1516656511440,459,Q6 - Knappste Sieger,204,No Content,Users 1-65,,true,,27,142,100,100,0,0,0
1516656511852,125,Q6 - Knappste Sieger,204,No Content,Users 1-41,,true,,27,142,100,100,0,0,0
1516656511403,575,Q1 - Sitzverteilung,204,No Content,Users 1-30,,true,,27,140,100,100,0,0,1
1516656511108,878,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-7,,true,,27,140,100,100,0,0,0
1516656511880,177,Q6 - Knappste Sieger,204,No Content,Users 1-11,,true,,27,142,100,100,0,0,0
1516656511992,134,Q6 - Knappste Sieger,204,No Content,Users 1-54,,true,,27,142,100,100,0,0,0
